platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,2004,255,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_255_archv.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_255_tc.bsq,M:\Bering_Glacier\063018\images\2004\LE7063018_2004_255_cloudmask.bsq
TM,2004,151,M:\Bering_Glacier\063018\images\2004\LT5063018_2004_151_archv.bsq,M:\Bering_Glacier\063018\images\2004\LT5063018_2004_151_tc.bsq,M:\Bering_Glacier\063018\images\2004\LT5063018_2004_151_cloudmask.bsq
TM,2005,113,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_113_archv.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_113_tc.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_113_cloudmask.bsq
TM,2005,129,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_129_archv.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_129_tc.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_129_cloudmask.bsq
TM,2005,177,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_177_archv.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_177_tc.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_177_cloudmask.bsq
TM,2005,225,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_225_archv.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_225_tc.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_225_cloudmask.bsq
TM,2005,257,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_257_archv.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_257_tc.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_257_cloudmask.bsq
TM,2005,289,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_289_archv.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_289_tc.bsq,M:\Bering_Glacier\063018\images\2005\LE7063018_2005_289_cloudmask.bsq
TM,2005,153,M:\Bering_Glacier\063018\images\2005\LT5063018_2005_153_archv.bsq,M:\Bering_Glacier\063018\images\2005\LT5063018_2005_153_tc.bsq,M:\Bering_Glacier\063018\images\2005\LT5063018_2005_153_cloudmask.bsq
TM,2006,52,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_052_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_052_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_052_cloudmask.bsq
TM,2006,84,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_084_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_084_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_084_cloudmask.bsq
TM,2006,116,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_116_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_116_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_116_cloudmask.bsq
TM,2006,132,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_132_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_132_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_132_cloudmask.bsq
TM,2006,148,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_148_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_148_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_148_cloudmask.bsq
TM,2006,164,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_164_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_164_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_164_cloudmask.bsq
TM,2006,260,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_260_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_260_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_260_cloudmask.bsq
TM,2006,292,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_292_archv.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_292_tc.bsq,M:\Bering_Glacier\063018\images\2006\LE7063018_2006_292_cloudmask.bsq
